S.No,Date,Time,Title,Download status,Publisher_info,pdf_link
1,21-08-2024,22:52:51,University Cricket Trials 2024-2025,0,"PRAVEEN SAROHA, OFFICER INCHARGE, PHYSICAL EDUCATION",https://www.imsnsit.org/imsnsit/plum_url.php?7qDP19WqDUZYnhjjbbZui5nfQcSHNBCvr0dV4GNDMFj+dDbRpOsjZ8oambk4QWQTBLcg2FD9eyTqErdKeUi28HYoAl2PER8U1xfjbHkJCbIVA7QRWJmgd0f8oCPMztlf3c6r47OsCBLXDLFLBV0VexHYWdn7EJiZs3MgXIQwWEeI1yNWm9h7E1GWW4Lsfj2+FxXMEuKA4s/wxIH9kdIGYw==
2,21-08-2024,22:52:52,University Badminton Trials for First Year Students (Men and Women) category.,0,"PRAVEEN SAROHA, OFFICER INCHARGE, PHYSICAL EDUCATION",https://www.imsnsit.org/imsnsit/plum_url.php?ziWe0Z8d2FTSMLi8mp9aw5jgicGoWr+XLQFrG8iRhOmdrwL4Exx1l91rg/dhk2Wwq1gXMIY7jJjugZmbaUeq8+f8z1mrghkKbXYrgIeTeO8G4w13zN8b5iDRvUzUCL+NgVjl0Oxs5L58A0lqRXxP0QAzSkH2VunEhmI2fpqkjCws5GCNNP+iQUfi5PmFMjIXrWBLhkvxZsuO6rJgdoS7uw==
3,20-08-2024,22:52:52,Session on Trends in Electronics and Semiconductors,0,"NITIN KUMAR, SECTION OFFICER (TRAINING & PLACEMENT), TRANING AND PLACEMENT",https://www.imsnsit.org/imsnsit/plum_url.php?WsJnexiZIICoLHJFXPXJ0xHpSqgWfujg8hO0/YX+quEttb08cVuwfCcKCE0cKHff1OOh76pweuDe+PWeCX3m3DgduYd/yTlTO8mWhSplp4qU6tTHUsHEyqB+E8JJXvUWMTrGgU4J05C2776jbT2crMQRs4rR/9Tpa5B9g7XHHtLtCkg6QAHLqmN3BfCiZLyWBSB0rz2fBxRR4e0bUFyyvw==
4,20-08-2024,22:52:52,Selection Trials University Table Tenns (Men & Women) 2024-2025 Batch,0,"PRAVEEN SAROHA, OFFICER INCHARGE, PHYSICAL EDUCATION",https://www.imsnsit.org/imsnsit/plum_url.php?fR1JJ1MVBVNRSgOgXM6tIHrcN6RjowOT5qjeoXf6fj48Nd9ovrRsAXq6lTkOQB1zejedEfyHRbcX90m+a2ftRXx5hP089IwBoeogqvE+TFUrOwTq6boybQnehffRjZeWMNk089oRIgwINelA5PKfYotOlVQuCtNkMX0sruGGvm3+B7gY9i7+RgCTt9vaZqX2UimKmG8pZUoIHZMr9dJJxw==
5,20-08-2024,22:52:52,Notice for MBA 3rd semester students ( MAJOR PROJECT MBC2201),0,"RENU GHOSH, ASSISTANT PROFESSOR, MANAGEMENT STUDIES",https://www.imsnsit.org/imsnsit/plum_url.php?y5O+F5kJQAa9XtIUOhBaMQESvBZwnwi6eqBlxkckrzhiLuCKX1Oz2zUdGK2Rb15KEfNc9q9pixeGMGt4tj20kDfgFVV/gTA3ZWHGKylVpM6FH9hD1qsk8QFljsDyWaC2lxGVfkYB6RqEUY8NpimA0UhFfN8MfKf0yqPmdluwL73dzMM7P4Vi6ISHN4c6dvbpG6AqFDECJMoJc0PsAbQEQk+aoNqmSJfHd3A7o97cdk0/0c06ezSaE34naJWGoKmP
6,18-08-2024,22:52:52,Classes of B. Tech 1st Semester Students with Branch Upgrades,0,"TARUN KUMAR RAWAT, CHAIRMAN, ADMISSION OFFICE",https://www.imsnsit.org/imsnsit/plum_url.php?NaP2D+s8j8BLSHvPdAB6FUZsg+W84ShjKYnpcXt9otynS9koP8HBfFs7+xa/GogJXKtycProm5Mr+s/HNBn3VH7hJJ562UL223B0ZkY5MuzLbzIc/6Vwmp3yN5m0GlzVuBjkWK8WgV6d0s3gJTSpXFlgdGUP1P90z788g3gjrAfT1+3cWjNLJBt5KzGnFpf9VUgGK8gk+5Vuf6rzt+LDPSmftmThZBwA85O3XQpP/EU=
7,16-08-2024,22:52:52,NOTIFICATION REGARDING MANDATORY ATTENDANCE AND DISCIPLINARY ACTION FOR MASS BUNKING,0,"Published By: Mrs MAHESHWARI CHANDRA, SECTION OFFICER, ACADEMIC SECTION",https://www.imsnsit.org/imsnsit/plum_url.php?ziWe0Z8d2FTSMLi8mp9aw5jgicGoWr+XLQFrG8iRhOmdrwL4Exx1l91rg/dhk2Wwq1gXMIY7jJjugZmbaUeq8xxTb4M3XW7THEk+OvOuXTDX1N5LUDODQ4H3Sd3eWZVNrOUkS2Eez9glZynPhHyIq4U77PHnmYnxtgYjvboc3QaaUriJGg/Xyr3F/TSaLIkk
8,16-08-2024,22:52:52,"PENDING LIST FOR PM YASASVI CENTRAL SECTOR SCHEME OF TOP CLASS EDUCATION IN COLLEGE FOR OBC,EBC AND DNT STUDENTS",0,"Published By: Mrs MAHESHWARI CHANDRA, SECTION OFFICER, ACADEMIC SECTION",https://www.imsnsit.org/imsnsit/plum_url.php?9UvNTILo4DEanCdrNgCttM4Ggi2vVQhtxM8y1tgpEyLLbqHF35mcSvE2jyInWGEJWSEN6B8DnX5OEFKzQJ0KpBD94AqbsnGYHYZqLWOLMH6n7qU/BFPjrPrKluiA/Ds3SDaAnfOp8usS1llEidWYnZNVMcqkkbWcammEs7iy7mkU0QAsRdYBFvMIutddQEZqDqSiI7j1xY8gUr7S5Q5zAg==
9,16-08-2024,22:52:52,Re-registration for Odd semester courses and examination  dates for NSIT students,0,"LAMBODAR MISHRA, DATA PROCESSOR, EXAMINATION SECTION",https://www.imsnsit.org/imsnsit/plum_url.php?zwGIomMSpHc2ijt0gRgbWOgr6aZuR0zn+Un4ufivrywIPprc2ou3qPu8Ko5NIBu2tFYdfO7Mlc0QuiqfyIxz4uAwYOyCecSRUBn6iuzxnW3TdPkakvGARVyhmbv+HASprMGGJ831ihy2aJgQF/yvDV641tAH9y123t8U9fjLRK9X5YOQLSPHk9S+v7AzmEOcEjlu1D5tzDf0UEKMMGkGlA==
10,14-08-2024,22:52:52,First Semester Backlog/Improvement Time table ( Only for Main Campus Students who are currently  in V and VII Semester),0,"SACHIN SHARMA, ASSISTANT PROFESSOR, MATHEMATICS",https://www.imsnsit.org/imsnsit/plum_url.php?uB1g9XIKl8RZv6uIUesUx2HkFnvaHih776aEnr46ZOUDPgE/AGyoqMAbHkAZRl8ssBtqOstIvLPZr/HTcSudPjG98bsBc+Vs4godBu/vC2q+hRP2NrLl1hOgmDRk7zSKBbBDdYhFO1F3vMSZcNpktib/91cut1CBN4xTIVA/s/xqnh+O69+E1x5uqTMQfb3WgpcS+yNJcGrqbHyOBsGhxE2G/m2YUJ5QXUrkF3/BGcs=
