S.No,Date,Time,Title,Processed_status,Publisher_info,pdf_link
5,20-08-2024,0:10:15,Notice for MBA 3rd semester students ( MAJOR PROJECT MBC2201),1,"RENU GHOSH, ASSISTANT PROFESSOR, MANAGEMENT STUDIES",https://www.imsnsit.org/imsnsit/plum_url.php?iOqCQ0GNHqSjKmSLLTORsBep5OzbIql4cH9tIqkqwFMvDoTM0suo9UaTTM3iHcpMg0o7VKpIRbZFBeoze8INCFbCDU3BbszdqIj957mBWjaHFkZKy9VTIE9eSOSnyYh9Lfbnj1iqXJoMYS4V/Ta8aWWnyenbce/uzAi7HhWS1i2YzRVKJLs+Q0WcqtywWbCZ+9vyLGRWr4DRgTAQNl9FtqEB10ikM4cpc/t1cbAOSE1FxT5kb5zSb8Q0aucIWecj
6,18-08-2024,0:10:15,Classes of B. Tech 1st Semester Students with Branch Upgrades,1,"TARUN KUMAR RAWAT, CHAIRMAN, ADMISSION OFFICE",https://www.imsnsit.org/imsnsit/plum_url.php?AJCSvU3pRPUF/0EvWHMFcdHzN46d8HaPTHVOExrVynyTcOrIZpHRZrPeIYKnDxTjBa8kCPFDLBJSLp7/9RuxPtSnyS/Q0rAXjrBSf3QxBn/ulUUKZF+GajsCAAEuFehn2lk4LbhxDBV32mYsdKVuEtbmn+1ZbsqVYUGWIsXbJQkcmpErFvDsk074ZNBFEipS7Ul/FfHXbokJUGQTs3dXDuCYZwCN+AAxPp0jHjscrdM=
7,16-08-2024,0:10:15,NOTIFICATION REGARDING MANDATORY ATTENDANCE AND DISCIPLINARY ACTION FOR MASS BUNKING,1,"Published By: Mrs MAHESHWARI CHANDRA, SECTION OFFICER, ACADEMIC SECTION",https://www.imsnsit.org/imsnsit/plum_url.php?vCv0fFUXe21Wa8RQDalgjLEU78hd39uiT+Mtufpv59Dv2Mu4As6hA2PGah1TMFqdGhG5CHzxfAo5ni/hUnrxCXWhXF+qeyZfyJyjlrkufvUgoH81qCz7ml33lUbTKdfaTWXzCwny4WuugJ2YaMkkATHBsBO3GmRcB5jotElKjFwxolUnWMO2JCB0dTkfLSeM
8,16-08-2024,0:10:15,"PENDING LIST FOR PM YASASVI CENTRAL SECTOR SCHEME OF TOP CLASS EDUCATION IN COLLEGE FOR OBC,EBC AND DNT STUDENTS",1,"Published By: Mrs MAHESHWARI CHANDRA, SECTION OFFICER, ACADEMIC SECTION",https://www.imsnsit.org/imsnsit/plum_url.php?4P6QUtFsLarI999jE5t1mvO2aGTpOs61EqxHNLsL9PQ64d4TRHjoAEQHct7twIS4ypLRCp97yRVulEPI0KWTKS15enmtbl/L6/ETnU0+dLkq4BwkrmyaE+AxOWSYElhnSBm4JCPBltLR3qVhfPlh63JiJWdswn/pzO/J+Nupx/6FxpmOSDb1CaP1wvpxlusBJys/7ttcAD9XAhzn3VDN+A==
9,16-08-2024,0:10:15,Re-registration for Odd semester courses and examination  dates for NSIT students,0,"LAMBODAR MISHRA, DATA PROCESSOR, EXAMINATION SECTION",https://www.imsnsit.org/imsnsit/plum_url.php?rCuzUhQt3CllHSV2wg+S4n9DfmTGXt/sqEaMJYJCMVjhlc+ob4onGZwSzhJc6Q92UaPGnrOnzgF8Km6zOGRgNssIN1I09lo0vJVsP4qTZPmYwzQ/UV5uY1n69+cKJL0Zt1C03HwQ7FpGIEuFfGKpKCeOHH2YBv8u/L0UlrXdaybTwNj/gwYUuNZOtShHnWdb7VLcccRtwKvXzcwrfz3/Nw==
10,14-08-2024,0:10:15,First Semester Backlog/Improvement Time table ( Only for Main Campus Students who are currently  in V and VII Semester),0,"SACHIN SHARMA, ASSISTANT PROFESSOR, MATHEMATICS",https://www.imsnsit.org/imsnsit/plum_url.php?aEpUdBSJTGSmBzah8H9pgrzqZqI6K5Aq5vRtZarT75xZBMWWGuOTQglay/+lOcAXrgE/TDRo7FYaB2xAc4DDD7UyDjTEG3Gqy6DRAAFLsa8tFYeSth8h8EhNuVcM/aNooshVRWE2VTcOFi8xKmndSmGjzaJts8ptMLTLiHg2b1TUgAKgrLP+W1bpko1e5gVllWoDXewQbzNwuKPJe35hPXbbKwz7KcbhK54256BFh/0=
11,13-08-2024,0:10:15,Circular for Celebration of Independence Day-24.,0,"JAI PRAKASH SHARMA, DEAN STUDENT WELFARE OFFICE",https://www.imsnsit.org/imsnsit/plum_url.php?Eyi4f0Tghtix60HMZhdhQwEIwY4WutKgfeH4ZZwIw3l/mLrk7T0TIBb6a51hSsVf12lVoE+MgtxInzcjiIZVBhpfarE/tI0I1b0OSdnkE6wTNmi67LJ84xcxSHHGSB+Xoz80B9O6V5h1oI+8DVjiTOZZDj4k4crCiBz04DmC3L9HrL9xjZi/YB68VFUjxcb0
12,13-08-2024,0:10:15,B.E.  6 semester result examination held in April-May-2024 for NSIT students.,0,"LAMBODAR MISHRA, DATA ENTRY OPERATOR, EXAMINATION SECTION",https://www.imsnsit.org/imsnsit/plum_url.php?ftoTDBiH0yu/gjuPzDXu8AxcqtNlUTaphfig8kF1pg02w2IsYLGlaDQ4qF8Un0kmwkQEUsHqL8k85i4plt9Pv3pqbUOIYWzj3nAI80g3xkn/SZJRJJsh31iybTQWuRQLd/Y+xYHoLOC4ZxKh18UY26c8/jTVE0uEmOfnnPvftHcZjcFS6UA95mjeQ2p+FT4A4SVBLNTln4RMnEnopPjtKQ==
13,13-08-2024,0:10:15,Notice Regarding Unauthorized Freshers Party.,0,"Published By: Mr PANKAJ AGGARWAL, HEAD CLERK, PROCTOR OFFICE",https://www.imsnsit.org/imsnsit/plum_url.php?jnq7jKOafrkHrmoPg8zmQo+eHCt/qBi1IT5sh3l3hWLc1z0b4vEXO1eblnAvL3jsZq8lmqkupVKjgA6a+Trt4oWv5WyBWAQiQj9RbfCH9qitYJOFrf+YPObScdG47Yn9yd8RXeL8NABF6yWDLeQAh4myGfgwYUhVD002bN3Va3u/YtJaw6aTGhPVSR/tNj0yey5VP9itAoUXEWV9BdH80K/h28u7QCpp0Y0j87uXf7c=
14,13-08-2024,0:10:15,B.Tech Project guidelines for CSDA & CIOT students-East Campus,0,"PRAKASH RAO RAGIRI, ASSISTANT PROFESSOR, COMPUTER SCIENCE AND ENGINEERING(EAST)",https://www.imsnsit.org/imsnsit/plum_url.php?pxra/Hs10iPv2AbHLtO0YexHWjL452ilwW6UEAZ8NQ9sA1ACwOfZ8ZTkvTVwcg0xNrvMYvFbF7qO5AdgVPrVihqy52R5w/1ZegPSOIP/ONO1TcwMdhB7Qh0f+Xf0XI7GVO03wRUV+mLqKxQP+t54LEYiQP4jdjDzfIlaTO2gSOy07Uvg45KatrCbkc62tZz8jH6y+uaj09Uwx22OLMwO7Q==
15,12/8/2024,0:10:15,Branch Upgradation for Newly Admitted B.Tech Students of 1st Semester 2024-25,0,"TARUN KUMAR RAWAT, CHAIRMAN, ADMISSION OFFICE",https://www.imsnsit.org/imsnsit/plum_url.php?quc+/B+oiow4gGWMnE5qaaOK94AraIH6NBzxwKUQ1OizWE6DozaszgL6m1vUs+1iLLv+2688+ze+dRLW9/sWJFXIgPpH6iZMaX1mC3qSUMENyz98mnPiW/A+ARH4CAtLcLpRu11x5IM216nKo/nP6QHBxY0o/yNB0wlToU1hV+zek58QNaSNNzSG9fcCjPNiyMJRw/EQrfIzx7VCTvt3iW27Jw0DbkWqPOfJQaJz4eE8LEWapF5uLlbxH+Ybjdzn
